t,effective_alpha,miss_streak,mode
561,0.05,0,aci_clipped
562,0.05,0,aci_clipped
563,0.05,0,aci_clipped
564,0.05,0,aci_clipped
565,0.05,0,aci_clipped
566,0.05,0,aci_clipped
567,0.05,0,aci_clipped
568,0.05,0,aci_clipped
569,0.05,0,aci_clipped
570,0.05,0,aci_clipped
571,0.05,0,aci_clipped
572,0.05,0,aci_clipped
573,0.05,0,aci_clipped
574,0.05,0,aci_clipped
575,0.05,0,aci_clipped
576,0.05,0,aci_clipped
577,0.05,0,aci_clipped
578,0.05,0,aci_clipped
579,0.05,0,aci_clipped
580,0.05,0,aci_clipped
581,0.05,0,aci_clipped
582,0.05,0,aci_clipped
583,0.05,0,aci_clipped
584,0.05,0,aci_clipped
585,0.05,0,aci_clipped
586,0.05,0,aci_clipped
587,0.05,0,aci_clipped
588,0.05,0,aci_clipped
589,0.05,0,aci_clipped
590,0.05,0,aci_clipped
591,0.05,0,aci_clipped
592,0.05,0,aci_clipped
593,0.05,0,aci_clipped
594,0.05,0,aci_clipped
595,0.05,0,aci_clipped
596,0.05,0,aci_clipped
597,0.05,0,aci_clipped
598,0.05,0,aci_clipped
599,0.05,0,aci_clipped
600,0.05,0,aci_clipped
601,0.05,0,aci_clipped
602,0.05,0,aci_clipped
603,0.05,0,aci_clipped
604,0.05,0,aci_clipped
605,0.05,0,aci_clipped
606,0.05,0,aci_clipped
607,0.05,0,aci_clipped
608,0.05,0,aci_clipped
609,0.05,0,aci_clipped
610,0.05,0,aci_clipped
611,0.05,0,aci_clipped
612,0.05,0,aci_clipped
613,0.05,0,aci_clipped
614,0.05,0,aci_clipped
615,0.05,0,aci_clipped
616,0.05,0,aci_clipped
617,0.05,0,aci_clipped
618,0.05,0,aci_clipped
619,0.05,0,aci_clipped
620,0.05,0,aci_clipped
621,0.05,0,aci_clipped
622,0.05,0,aci_clipped
623,0.05,0,aci_clipped
624,0.07,1,aci_clipped
625,0.05,0,aci_clipped
626,0.05,0,aci_clipped
627,0.07,1,aci_clipped
628,0.094,2,aci_clipped
629,0.122,3,aci_clipped
630,0.102,0,aci_clipped
631,0.08199999999999999,0,aci_clipped
632,0.061999999999999986,0,aci_clipped
633,0.05,0,aci_clipped
634,0.05,0,aci_clipped
635,0.05,0,aci_clipped
636,0.05,0,aci_clipped
637,0.05,0,aci_clipped
638,0.05,0,aci_clipped
639,0.05,0,aci_clipped
640,0.05,0,aci_clipped
641,0.05,0,aci_clipped
642,0.05,0,aci_clipped
